Occupation (SOC code),Employment(1),Hourly mean wage,Annual mean wage(2)
All Occupations(000000),   140886310,       28.01,       58260
Management Occupations(110000),     8909910,       59.31,      123370
Top Executives(111000),     3229990,       57.94,      120520
Chief Executives(111011),      200480,      102.41,      213020
General and Operations Managers(111021),     2984920,       55.41,      115250
Legislators(111031),       44590,           -,       57110
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers(112000)",      838050,       69.77,      145130
Advertising and Promotions Managers(112011),       22520,       68.68,      142860
Marketing and Sales Managers(112020),      732490,       70.48,      146600
Marketing Managers(112021),      278690,       73.77,      153440
Sales Managers(112022),      453800,       68.46,      142390
Public Relations and Fundraising Managers(112030),       83040,       63.85,      132800
Public Relations Managers(112032),       59850,       66.35,      138000
Fundraising Managers(112033),       23190,       57.40,      119400
Operations Specialties Managers(113000),     2116020,       67.26,      139900
Administrative Services and Facilities Managers(113010),      325850,       52.69,      109590
Administrative Services Managers(113012),      224620,       54.34,      113030
Facilities Managers(113013),      101230,       49.03,      101970
Computer and Information Systems Managers(113021),      485190,       78.33,      162930
Financial Managers(113031),      681070,       73.78,      153460
Industrial Production Managers(113051),      192270,       56.62,      117780
Purchasing Managers(113061),       69310,       64.71,      134590
"Transportation, Storage, and Distribution Managers(113071)",      144640,       50.76,      105580
Compensation and Benefits Managers(113111),       15330,       67.05,      139470
Human Resources Managers(113121),      166530,       65.67,      136590
Training and Development Managers(113131),       35830,       61.92,      128800
Other Management Occupations(119000),     2725860,       51.55,      107230
"Farmers, Ranchers, and Other Agricultural Managers(119013)",        5220,       37.71,       78440
Construction Managers(119021),      284750,       52.02,      108210
Education and Childcare Administrators(119030),      537100,       47.73,       99280
"Education and Childcare Administrators, Preschool and Daycare(119031)",       56430,       25.87,       53800
"Education Administrators, Kindergarten through Secondary(119032)",      274710,           -,      102650
"Education Administrators, Postsecondary(119033)",      155990,       53.49,      111260
"Education Administrators, All Other(119039)",       49970,       45.54,       94730
Architectural and Engineering Managers(119041),      187100,       76.43,      158970
Food Service Managers(119051),      210680,       30.75,       63970
Entertainment and Recreation Managers(119070),       21460,       36.75,       76430
Gambling Managers(119071),        3660,       42.88,       89190
"Entertainment and Recreation Managers, Except Gambling(119072)",       17800,       35.48,       73810
Lodging Managers(119081),       35920,       32.58,       67770
Medical and Health Services Managers(119111),      436770,       57.61,      119840
Natural Sciences Managers(119121),       74760,       75.05,      156110
Postmasters and Mail Superintendents(119131),       12750,       39.34,       81820
"Property, Real Estate, and Community Association Managers(119141)",      234680,       33.67,       70030
Social and Community Service Managers(119151),      156400,       36.92,       76790
Emergency Management Directors(119161),       10320,       40.77,       84800
Personal Service Managers(119170),       20060,       35.75,       74360
Funeral Home Managers(119171),       12710,       39.86,       82900
"Personal Service Managers, All Other(119179)",        7350,       28.65,       59580
"Managers, All Other(119199)",      497890,       62.36,      129710
Business and Financial Operations Occupations(130000),     9053790,       39.72,       82610
Business Operations Specialists(131000),     6152960,       38.64,       80380
"Agents and Business Managers of Artists, Performers, and Athletes(131011)",       12480,       55.97,      116410
Buyers and Purchasing Agents(131020),      439020,       34.88,       72540
"Claims Adjusters, Appraisers, Examiners, and Investigators(131030)",      289580,       34.06,       70850
"Claims Adjusters, Examiners, and Investigators(131031)",      278140,       34.11,       70960
"Insurance Appraisers, Auto Damage(131032)",       11430,       32.78,       68180
Compliance Officers(131041),      334340,       36.45,       75810
Cost Estimators(131051),      208950,       35.45,       73740
Human Resources Workers(131070),      805080,       34.24,       71210
Human Resources Specialists(131071),      740830,       34.00,       70720
Farm Labor Contractors(131074),         440,       26.16,       54400
Labor Relations Specialists(131075),       63810,       37.05,       77070
Logisticians and Project Management Specialists(131080),      933180,       45.45,       94530
Logisticians(131081),      189320,       38.09,       79230
Project Management Specialists(131082),      743860,       47.32,       98420
Management Analysts(131111),      768450,       48.33,      100530
"Meeting, Convention, and Event Planners(131121)",       98150,       27.81,       57850
Fundraisers(131131),       82080,       31.19,       64870
"Compensation, Benefits, and Job Analysis Specialists(131141)",       87750,       35.49,       73810
Training and Development Specialists(131151),      336030,       32.51,       67620
Market Research Analysts and Marketing Specialists(131161),      727540,       36.58,       76080
"Business Operations Specialists, All Other(131199)",     1030330,       38.10,       79240
Financial Specialists(132000),     2900840,       41.99,       87350
